Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Refund,,,2020-01-23 14:36:21,2020-01-23 14:36:26,5.854s,FAILED
,,,,,,
Test Cases/Cancellation/BRI Ceria/TC01-SuccessRefund,,,2020-01-23 14:36:21,2020-01-23 14:36:26,5.544s,FAILED
INVOICENUMBER = Utils.generateInvoice(),,,2020-01-23 14:36:21,2020-01-23 14:36:22,0.014s,PASSED
"sessionId = Utils.generateInvoice() + ""321""",,,2020-01-23 14:36:22,2020-01-23 14:36:22,0.001s,PASSED
"callTestCase(findTestCase(""InternetBanking/BRI Ceria/TC01-Payment""), [""SERVICEID"":""1"", ""ACQUIRERID"":""1024"", ""MALLID"":""1"", ""CHAINMALLID"":"""", ""INVOICENUMBER"":INVOICENUMBER, ""CURRENCY"":""IDR"", ""AMOUNT"":""600000.00"", ... ], CONTINUE_ON_FAILURE)",,,2020-01-23 14:36:22,2020-01-23 14:36:25,3.828s,PASSED
com.database.DBHelper.connectDBPostgres(),,,2020-01-23 14:36:25,2020-01-23 14:36:26,0.308s,PASSED
"com.database.DBHelper.execute(""update transaction set payment_host_auth_id = '"" + paymentHostAuthId + ""' where invoice_number = '"" + INVOICENUMBER + ""'"")",,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.020s,PASSED
"com.database.DBHelper.execute(""update acquirer set void_url = '"" + refundUrlBriCeria + ""' where id = '1024'"")",,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.004s,PASSED
"refidmerchant = Utils.generateInvoice() + ""123""",,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.000s,PASSED
sb = new java.lang.StringBuilder(),,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.006s,PASSED
append(refidmerchant).append(SESSIONID),,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.003s,PASSED
words = Utils.generateWords(sb.toString()),,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.012s,PASSED
i = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.001s,PASSED
j = 0,,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.002s,PASSED
i = ((flag == retry)) ? 3 : 1,,,2020-01-23 14:36:26,2020-01-23 14:36:26,0.001s,PASSED
"for ([j = 0, j < i, (j++)])",,Payment,2020-01-23 14:36:26,2020-01-23 14:36:26,0.671s,FAILED
